Frame,Tiempo (Segundos),Objeto,Confianza (%),Nivel de Riesgo
220,7.33,Vehiculo,94.7,MEDIO
221,7.37,Vehiculo,94.7,MEDIO
222,7.4,Vehiculo,94.7,MEDIO
223,7.43,Vehiculo,94.7,MEDIO
224,7.47,Vehiculo,94.8,MEDIO
225,7.5,Vehiculo,94.7,MEDIO
226,7.53,Vehiculo,94.7,MEDIO
227,7.57,Vehiculo,94.7,MEDIO
228,7.6,Vehiculo,94.6,MEDIO
229,7.63,Vehiculo,94.6,MEDIO
230,7.67,Vehiculo,94.5,MEDIO
231,7.7,Vehiculo,94.4,MEDIO
232,7.73,Vehiculo,94.3,MEDIO
233,7.77,Vehiculo,94.3,MEDIO
234,7.8,Vehiculo,94.2,MEDIO
235,7.83,Vehiculo,94.1,MEDIO
236,7.87,Vehiculo,94.1,MEDIO
237,7.9,Vehiculo,94.2,MEDIO
238,7.93,Vehiculo,94.3,MEDIO
239,7.97,Vehiculo,94.2,MEDIO
240,8.0,Vehiculo,94.2,MEDIO
241,8.03,Vehiculo,94.2,MEDIO
242,8.07,Vehiculo,94.1,MEDIO
243,8.1,Vehiculo,94.0,MEDIO
244,8.13,Vehiculo,93.9,MEDIO
245,8.17,Vehiculo,93.9,MEDIO
246,8.2,Vehiculo,93.9,MEDIO
247,8.23,Vehiculo,93.8,MEDIO
248,8.27,Vehiculo,93.3,MEDIO
249,8.3,Vehiculo,93.8,MEDIO
250,8.33,Vehiculo,93.5,MEDIO
251,8.37,Vehiculo,93.7,MEDIO
252,8.4,Vehiculo,94.3,MEDIO
253,8.43,Vehiculo,94.1,MEDIO
254,8.47,Vehiculo,93.9,MEDIO
255,8.5,Vehiculo,94.1,MEDIO
256,8.53,Vehiculo,93.8,MEDIO
257,8.57,Vehiculo,93.9,MEDIO
258,8.6,Vehiculo,93.9,MEDIO
259,8.63,Vehiculo,94.3,MEDIO
260,8.67,Vehiculo,94.3,MEDIO
261,8.7,Vehiculo,94.6,MEDIO
262,8.73,Vehiculo,94.6,MEDIO
263,8.77,Vehiculo,94.4,MEDIO
264,8.8,Vehiculo,94.6,MEDIO
265,8.83,Vehiculo,94.6,MEDIO
266,8.87,Vehiculo,94.8,MEDIO
267,8.9,Vehiculo,94.7,MEDIO
268,8.93,Vehiculo,94.8,MEDIO
269,8.97,Vehiculo,94.8,MEDIO
270,9.0,Vehiculo,94.7,MEDIO
271,9.03,Vehiculo,94.6,MEDIO
272,9.07,Vehiculo,94.7,MEDIO
273,9.1,Vehiculo,94.8,MEDIO
274,9.13,Vehiculo,94.8,MEDIO
275,9.17,Vehiculo,94.8,MEDIO
276,9.2,Vehiculo,94.9,MEDIO
277,9.23,Vehiculo,94.8,MEDIO
278,9.27,Vehiculo,94.8,MEDIO
279,9.3,Vehiculo,94.9,MEDIO
280,9.33,Vehiculo,94.9,MEDIO
281,9.37,Vehiculo,94.8,MEDIO
282,9.4,Vehiculo,94.9,MEDIO
